"Choi matrices from t=0 to t=1000 log spaced, 100 points. Initial state of environment generated with SeedRandom[52806];ψ=RandomChainProductState[L-1];"
0.49944694362778425,0.0008014681986931282+0.016517803198749424*I,0.0008329794488488669+0.016516050942793195*I,0.48711377410177614-0.0485005015996316*I,0.0008014681986931272-0.01651780319874939*I,0.0005530544142485812,0.0005530540304983701-1.1068173220020889*^-6*I,-0.0008360523095810667-0.01651587828364986*I,0.0008329794488488669-0.016516050942793178*I,0.0005530540304983708+1.1068173220020942*^-6*I,0.0005530563739838205,-0.0008014681997262048-0.016517803196735105*I,0.4871137741017784+0.048500501599631554*I,-0.0008360523095810681+0.01651587828364985*I,-0.0008014681997262044+0.01651780319673507*I,0.4994469455829839
0.4993344634081866,0.0009668801254237278+0.0180946873088734*I,0.001008382407454097+0.018092153998593985*I,0.48446431149809266-0.05328789877619128*I,0.0009668801254237285-0.01809468730887335*I,0.0006655332115291882,0.0006655325225565155-1.6076284291989487*^-6*I,-0.001012766549066967-0.01809188323520492*I,0.0010083824074540975-0.018092153998594034*I,0.0006655325225565135+1.607628429198932*^-6*I,0.0006655365936931193,-0.0009668801263548867-0.01809468730689455*I,0.48446431149809244+0.05328789877619128*I,-0.0010127665490669692+0.01809188323520491*I,-0.0009668801263548876+0.018094687306894522*I,0.49933446678569837
0.4991992628982953,0.001166299450421281+0.019814470500992068*I,0.0012209281415834685+0.019810810025484325*I,0.4812716686555375-0.05852313454960653*I,0.0011662994504212806-0.019814470500992082*I,0.0008007312760203079,0.0008007300367613752-2.334630403671704*^-6*I,-0.0012271690975976669-0.01981038626780624*I,0.0012209281415834718-0.01981081002548434*I,0.0008007300367613763+2.3346304036716865*^-6*I,0.00080073710369561,-0.0011662994512426533-0.019814470499060734*I,0.48127166865553705+0.058523134549606705*I,-0.0012271690975976662+0.01981038626780617*I,-0.0011662994512426528+0.01981447049906075*I,0.4991992687212
0.49903682396317395,0.001406598970189923+0.021687591609985166*I,0.0014784554940000811+0.021682305916654095*I,0.4774258045790627-0.06423586191741121*I,0.0014065989701899215-0.02168759160998522*I,0.0009631660159468053,0.0009631637826542007-3.389532869412272*^-6*I,-0.0014873165560215023-0.02168164425548404*I,0.0014784554940000818-0.021682305916654068*I,0.0009631637826542006+3.3895328694122696*^-6*I,0.0009631760389288146,-0.0014065989708940882-0.02168759160811615*I,0.47742580457906353+0.0642358619174111*I,-0.001487316556021505+0.021681644255484026*I,-0.001406598970894091+0.021687591608116192*I,0.4990368339812678
0.49884176271816305,0.001695966803654933+0.023724389467798233*I,0.001790406272739162+0.023716762875356852*I,0.47279519025310685-0.07045245938888291*I,0.0016959668036549342-0.02372438946779814*I,0.0011582200820982747,0.00115821604968446-4.919360547422059*^-6*I,-0.0018029492588720107-0.023715732534483103*I,0.0017904062727391588-0.0237167628753568*I,0.0011582160496844602+4.919360547422071*^-6*I,0.0011582372840467563,-0.001695966804235549-0.023724389466009414*I,0.4727951902531063+0.07045245938888287*I,-0.0018029492588720103+0.02371573253448315*I,-0.0016959668042355483+0.023724389466009382*I,0.4988417799151097
0.4986076788431298,0.0020441173683194477+0.025934741222005387*I,0.0021681161982858876+0.02592374706240854*I,0.467223053676782-0.0771934013745302*I,0.0020441173683194494-0.02593474122200539*I,0.0013922917086954085,0.0013922844136803577-7.136276965365355*^-6*I,-0.0021858079431750785-0.025922147660265866*I,0.002168116198285891-0.025923747062408492*I,0.0013922844136803586+7.136276965365411*^-6*I,0.0013923211591771816,-0.002044117368771892-0.02593474122031812*I,0.4672230536767833+0.07719340137453017*I,-0.0021858079431750807+0.025922147660265862*I,-0.002044117368771895+0.025934741220318004*I,0.4986077082885063
0.49832698593445907,0.002462513867244444+0.02832755853666642*I,0.0026251363067280914+0.028311726995229092*I,0.4605232047488749-0.08446958572173464*I,0.0024625138672444485-0.028327558536666398*I,0.0016729637910879727,0.0016729505682166696-0.00001034577385858439*I,-0.0026499859895096605-0.02830925339442604*I,0.0026251363067280892-0.028311726995229117*I,0.0016729505682166665+0.000010345773858584401*I,0.0016730140679276273,-0.0024625138675667927-0.02832755853510565*I,0.46052320474887504+0.0844695857217345*I,-0.0026499859895096596+0.028309253394426026*I,-0.002462513867566796+0.028327558535105612*I,0.49832703620610747
0.49799072426557417,0.0029645888465370442+0.03091009803679392*I,0.0031775738625993135+0.030887329969091663*I,0.4524755288635127-0.09227727655458334*I,0.0029645888465370442-0.030910098036793992*I,0.002009190191536342,0.0020091661783719185-0.000014986504485278857*I,-0.003212304777485411-0.03088352098237511*I,0.003177573862599317-0.030887329969091624*I,0.0020091661783719155+0.000014986504485278713*I,0.0020092757368656827,-0.0029645888467312222-0.030910098035388314*I,0.45247552886351233+0.09227727655458304*I,-0.00321230477748542+0.030883520982375155*I,-0.0029645888467312266+0.03091009803538829*I,0.49799080980565386
0.49758835985806665,0.003565939287755996+0.03368703159937182*I,0.003844430694886576+0.033654337802301995*I,0.44282133877152996-0.10059122902851589*I,0.003565939287755996-0.03368703159937185*I,0.002411495158388888,0.002411451469733358-0.0000216861158824471*I,-0.003892685749393182-0.033648502748148935*I,0.003844430694886588-0.03365433780230203*I,0.0024114514697333583+0.000021686115882447212*I,0.002411640144394624,-0.0035659392878292758-0.033687031598153235*I,0.44282133877153085+0.10059122902851565*I,-0.0038926857493931932+0.033648502748149*I,-0.0035659392878292805+0.033687031598153214*I,0.4975885048387963
0.49710757771623576,0.00428445741130849+0.03665921015011551*I,0.004647899315234848+0.03661234893122227*I,0.43125893163871953-0.10935545857148792*I,0.0042844574113085-0.03665921015011553*I,0.002892177688956473,0.0028920980660058675-0.00003133868778028199*I,-0.004714470095973125-0.03660346511592626*I,0.004647899315234839-0.036612348931222324*I,0.002892098066005872+0.00003133868778028192*I,0.0028924222861994382,-0.004284457411275142-0.03665921014911865*I,0.43125893163872014+0.109355458571488*I,-0.00471447009597314+0.036603465115926305*I,-0.004284457411275135+0.03665921014911874*I,0.49710782230822703
